z_in,beta_C1_over_betao
93.6,0.8423690564481728
93.8,0.8437417426851677
94.0,0.8452574898023932
94.2,0.8467484305138245
94.4,0.8482518398464804
94.6,0.8498203022957637
94.8,0.8514174032488723
95.0,0.8531704733553273
95.2,0.8552714219149321
95.4,0.8574189308357004
95.6,0.8593148087129838
95.8,0.8611733133774493
96.0,0.8631858046609424
96.2,0.865129094991522
96.4,0.8670620835190032
96.6,0.8690440356618789
96.8,0.8710534523043388
97.0,0.8732091128287316
97.2,0.8756603876123441
97.4,0.8781241426301092
97.6,0.8803474958765043
97.8,0.8825175664854478
98.0,0.884816238981665
98.2,0.8870569699742203
98.4,0.8892609365965812
98.6,0.8914981734449096
98.8,0.8938117451350168
99.0,0.8962482409694607
99.2,0.8988390586804702
99.4,0.9014031954131616
99.6,0.9037815531154748
99.8,0.9060899739023225
100.0,0.9084897209738473
100.2,0.9108652343216035
100.4,0.9131673519510405
100.6,0.9154866402138917
100.8,0.9179546459179754
101.0,0.920515434862997
101.2,0.9230468209241024
101.4,0.9255145423570048
101.6,0.9278703624660977
101.8,0.9301396433111747
102.0,0.9324609618301193
102.2,0.9347967067258331
102.4,0.9370197583814528
102.6,0.9392436735747849
102.8,0.9416872468593698
103.0,0.9441886994544125
103.2,0.9464842655177229
103.4,0.9486836243905586
103.6,0.950839891940807
103.8,0.9528932557887005
104.0,0.9549639129982672
104.2,0.9570780652348697
104.4,0.9590444429579614
104.6,0.9609953365085289
104.8,0.9632106854429494
105.0,0.9654469787766129
105.2,0.9673566862284325
105.4,0.969146054706119
105.6,0.9709320636878075
105.8,0.9725995428786726
106.0,0.9742591008079882
106.2,0.9759624339422657
106.4,0.9775020019777108
106.6,0.9790097353926941
106.8,0.9807749675263369
107.0,0.9825267683144709
107.2,0.9839271200909768
107.4,0.985198270993691
107.6,0.9864324829768614
107.8,0.9875206388983865
108.0,0.9885361347215204
108.2,0.989421911607238
108.4,0.990154082977991
108.6,0.9908854117375949
108.8,0.991842839560085
109.0,0.9928509267936668
109.2,0.993752136712626
109.4,0.9946057769870673
109.6,0.995393248087726
109.8,0.9961063853439055
110.0,0.9968440752875101
110.2,0.9975877213945654
110.4,0.9982517742795124
110.6,0.9988938940425877
110.8,0.9994944755311007
111.0,1.0
